Fred VanVleet,PG,TOR,0.379,107
Anderson Varejao,C,GSW,,18
Greivis Vasquez,PG,BRK,0.333,7
Rashad Vaughn,SG,MIL,0.321,142
Noah Vonleh,PF,POR,0.35,327
Nikola Vucevic,C,ORL,0.307,1096
Sasha Vujacic,SG,NYK,0.311,124
Dwyane Wade,SG,CHI,0.31,1096
Dion Waiters,SG,MIA,0.395,729
Kemba Walker,PG,CHO,0.399,1830
John Wall,PG,WAS,0.327,1805
Taurean Waller-Prince,SF,ATL,0.324,335
T.J. Warren,SF,PHO,0.265,951
C.J. Watson,PG,ORL,0.305,281
Briante Weber,PG,TOT,0.1,62
David West,C,GSW,0.375,316
Russell Westbrook,PG,OKC,0.343,2558
Okaro White,PF,MIA,0.353,98
Isaiah Whitehead,PG,BRK,0.295,543
Hassan Whiteside,C,MIA,,1309
Andrew Wiggins,SF,MIN,0.356,1933
C.J. Wilcox,SG,ORL,0.2,21
Alan Williams,C,PHO,0,346
Deron Williams,PG,TOT,0.363,701
Derrick Williams,PF,TOT,0.309,304
Lou Williams,SG,TOT,0.365,1421
Marvin Williams,PF,CHO,0.35,849
Reggie Williams,SF,NOP,0.455,27
Troy Williams,SF,TOT,0.29,185
Kyle Wiltjer,PF,HOU,0.308,13
Justise Winslow,SF,MIA,0.2,196
Jeff Withey,C,UTA,0,146
Christian Wood,PF,CHO,0,35
Metta World,SF,LAL,0.237,57
Brandan Wright,PF,MEM,0,189
Delon Wright,PG,TOR,0.333,150
James Young,SG,BOS,0.343,68
Joe Young,PG,IND,0.217,68
Nick Young,SG,LAL,0.404,791
Thaddeus Young,PF,IND,0.381,814
Cody Zeller,PF,CHO,0,639
Tyler Zeller,C,BOS,0,178
Stephen Zimmerman,C,ORL,,23
Paul Zipser,SF,CHI,0.333,240
Ivica Zubac,C,LAL,0,284
